event_id,event name,date,event summary,Key topic 1,Key topic 2,Key topic 3,location
e1,Tech Meetup 2024,2024-11-23,The definitive event for anyone looking to stay ahead in the rapidly evolving design landscape.,IoT,Healthtech,Computer Vision,"Toronto, Canada"
e2,Blockchain Conference,2024-02-17,A collaborative platform for professionals to share insights on transforming innovation.,Metaverse,Edtech,UX Design,"Toronto, Canada"
e3,Healthcare Meetup 2024,2024-03-22,A premier gathering focused on the latest advancements in blockchain technologies and innovations.,Quantum Computing,Virtual Reality,Computer Vision,"Winnipeg, Canada"
e4,Finance Summit,2024-10-01,An exclusive event bringing together industry leaders to discuss the future of design.,Robotics,Computer Vision,Metaverse,"Ottawa, Canada"
e5,Future of AI Forum,2024-02-10,Join experts and thought leaders to explore cutting-edge developments in healthcare.,Web3,UX Design,Robotics,"Saskatoon, Canada"
e6,Sustainability Workshop 2024,2024-11-21,The definitive event for anyone looking to stay ahead in the rapidly evolving innovation landscape.,Metaverse,MLOps,Natural Language Processing,"Calgary, Canada"
e7,Next-Gen Finance Meetup 2024,2024-01-17,A collaborative platform for professionals to share insights on transforming healthcare.,Green Tech,Remote Work,Data Analytics,"Ottawa, Canada"
e8,Innovation Meetup,2024-03-12,An exclusive event bringing together industry leaders to discuss the future of marketing.,Product Management,Entrepreneurship,IoT,"Toronto, Canada"
e9,Design 2024,2024-02-26,A collaborative platform for professionals to share insights on transforming finance.,Digital Marketing,Virtual Reality,Ethical AI,"Toronto, Canada"
e10,Annual Design Meetup,2024-12-14,A premier gathering focused on the latest advancements in ai technologies and innovations.,Virtual Reality,Product Management,Cryptocurrency,"Halifax, Canada"
e11,Cybersecurity Workshop 2024,2024-02-24,The definitive event for anyone looking to stay ahead in the rapidly evolving tech landscape.,MLOps,Entrepreneurship,Deep Learning,"Vancouver, Canada"
e12,Blockchain Conference 2024,2024-07-04,A premier gathering focused on the latest advancements in marketing technologies and innovations.,5G Technology,Big Data,Future of Work,"Halifax, Canada"
e13,Sustainability Forum 2024,2024-03-25,Join experts and thought leaders to explore cutting-edge developments in innovation.,Green Tech,Digital Transformation,Edtech,"Halifax, Canada"
e14,Annual Blockchain Workshop 2024,2024-08-19,The definitive event for anyone looking to stay ahead in the rapidly evolving blockchain landscape.,Metaverse,Machine Learning,Robotics,"Toronto, Canada"
e15,Annual Tech Hackathon 2024,2024-04-27,An exclusive event bringing together industry leaders to discuss the future of blockchain.,5G Technology,Big Data,Future of Work,"Calgary, Canada"
e16,Modern Blockchain Summit 2024,2024-08-30,A collaborative platform for professionals to share insights on transforming finance.,Natural Language Processing,Cloud Computing,Green Tech,"Edmonton, Canada"
e17,Blockchain Workshop,2024-02-25,A collaborative platform for professionals to share insights on transforming data science.,Augmented Reality,Robotics,Edtech,"Halifax, Canada"
e18,Global Design Conference 2024,2024-02-20,An exclusive event bringing together industry leaders to discuss the future of data science.,Green Tech,Natural Language Processing,Blockchain,"Quebec City, Canada"
e19,Modern Cybersecurity Expo,2024-01-02,A collaborative platform for professionals to share insights on transforming sustainability.,Data Analytics,NFTs,UI Design,"Calgary, Canada"
e20,Innovation Conference,2024-01-30,The definitive event for anyone looking to stay ahead in the rapidly evolving sustainability landscape.,Blockchain,Natural Language Processing,Product Management,"Vancouver, Canada"
e21,Marketing Summit 2024,2024-04-05,The definitive event for anyone looking to stay ahead in the rapidly evolving marketing landscape.,Computer Vision,IoT,Fintech,"Saskatoon, Canada"
e22,Healthcare Meetup 2024,2024-10-16,A collaborative platform for professionals to share insights on transforming blockchain.,Big Data,DevOps,Remote Work,"Edmonton, Canada"
e23,Global Education Summit 2024,2024-02-07,Join experts and thought leaders to explore cutting-edge developments in sustainability.,Robotics,Augmented Reality,Digital Transformation,"Ottawa, Canada"
e24,Sustainability Meetup,2024-03-21,Join experts and thought leaders to explore cutting-edge developments in tech.,Cloud Computing,Big Data,Virtual Reality,"Vancouver, Canada"
e25,Emerging Data Science Meetup,2024-02-24,Join experts and thought leaders to explore cutting-edge developments in innovation.,Product Management,Entrepreneurship,Virtual Reality,"Toronto, Canada"
e26,Finance Meetup 2024,2024-02-17,An exclusive event bringing together industry leaders to discuss the future of healthcare.,Edtech,Ethical AI,Healthtech,"Halifax, Canada"
e27,AI Symposium,2024-01-05,A collaborative platform for professionals to share insights on transforming sustainability.,Big Data,Computer Vision,DevOps,"Edmonton, Canada"
e28,Next-Gen Blockchain Workshop 2024,2024-01-21,An exclusive event bringing together industry leaders to discuss the future of sustainability.,Augmented Reality,Blockchain,Cryptocurrency,"Quebec City, Canada"
e29,Innovation 2024,2024-01-13,A premier gathering focused on the latest advancements in design technologies and innovations.,Sustainability,Computer Vision,Future of Work,"Calgary, Canada"
e30,Healthcare Meetup 2024,2024-04-12,Join experts and thought leaders to explore cutting-edge developments in design.,UX Design,Robotics,Quantum Computing,"Halifax, Canada"
e31,Sustainability Hackathon 2024,2024-07-23,A premier gathering focused on the latest advancements in ai technologies and innovations.,Cloud Computing,Healthtech,Quantum Computing,"Edmonton, Canada"
e32,Sustainability 2024,2024-08-11,A collaborative platform for professionals to share insights on transforming tech.,Machine Learning,Digital Marketing,5G Technology,"Calgary, Canada"
e33,AI Hackathon,2024-07-05,The definitive event for anyone looking to stay ahead in the rapidly evolving cybersecurity landscape.,DevOps,Fintech,MLOps,"Quebec City, Canada"
e34,Sustainability Symposium 2024,2024-12-22,An exclusive event bringing together industry leaders to discuss the future of design.,DevOps,Green Tech,Ethical AI,"Toronto, Canada"
e35,Blockchain Forum,2024-06-04,A collaborative platform for professionals to share insights on transforming education.,Web3,Product Management,Future of Work,"Montreal, Canada"
e36,Annual Cybersecurity Hackathon 2024,2024-12-03,An exclusive event bringing together industry leaders to discuss the future of design.,Deep Learning,Computer Vision,Augmented Reality,"Winnipeg, Canada"
e37,Education Forum,2024-11-08,A collaborative platform for professionals to share insights on transforming finance.,Augmented Reality,Data Analytics,Machine Learning,"Vancouver, Canada"
e38,Future of Data Science Expo 2024,2024-08-05,A collaborative platform for professionals to share insights on transforming education.,Digital Marketing,Ethical AI,MLOps,"Winnipeg, Canada"
